id,INDICIO,TIPO DE INDICIO,COLOR,MARCA,TALLA,OBSERVACIONES,LINK FOTO
309,16G,BLUSA,BLANCO,VERTICHE,S/D,DETALLES DE ENCAJE,https://drive.google.com/file/d/15MD4W_lwZiuLboizkp6cI-O9oCqD4Ann/view?usp=sharing
310,17G,BLUSA,"ROJA, NEGRO",S/D,S/D,LETRAS AL FRENTE ,https://drive.google.com/file/d/1PQk7qXOBJcdiahuCGbpf6-Ucs0j1_rfZ/view?usp=sharing
311,18G,PLAYERA,ROSA,LUFEMA,S/D,S/D,https://drive.google.com/file/d/1Svl65y4LiZ-myJDCj7YJwYJ9qICwlTrX/view?usp=sharing
312,19G,BLUSA,VERDE,S/D,S/D,S/D,https://drive.google.com/file/d/178RDMrCUPgj0OSO-u3wPDVPpvUbLLVzR/view?usp=sharing
313,20G,CAMISA,"BLANCA, NEGRO",S/D,S/D,TIPO DEPORTIVA CON EL NUMERO 98 AL FRENTE,https://drive.google.com/file/d/1UE2pQNJl4WWiNt2TFpXyyXrhE5scWqFv/view?usp=sharing
314,21G,BLUSA,ROSA,S/D,S/D,S/D,https://drive.google.com/file/d/1Jz7iko0QSSwKGizQL5MiqAX4MK_N_9c9/view?usp=sharing
315,22G,BOLSA,NEGRA,S/D,S/D,S/D,https://drive.google.com/file/d/1VWsk1UWo0ecQy7E6RL3omQ_e8uKEL07t/view?usp=sharing
316,23G,PLAYERA,ROSA,ZAHUARY GIRLS,S/D,DE ENCAJE,https://drive.google.com/file/d/1Q0D-1CRFPkuv2MIS6JRxfg_G9qtEWBUE/view?usp=sharing
317,24G,BLUSA,"NEGRO,BEIGUE,CAFE",WILLOR,CHICA,FIGURAS ,https://drive.google.com/file/d/1gJvA0Hbl4g8NlfwfKHgI6ThHeQbY8ukM/view?usp=sharing
318,25G,PLAYERA,BLANCO,S/D,S/D,RESAQUE,https://drive.google.com/open?id=1qj3pnShEG4TNvpUMFcVyiieWaNshY6VK&usp=drive_copy
319,26G,VESTIDO,NEGRO,S/D,S/D,S/D,https://drive.google.com/file/d/1TxFVN85638iJEhZT3jlcl5WZtDllFwKY/view?usp=sharing
