id,INDICIO,TIPO DE INDICIO,COLOR,MARCA,TALLA,OBSERVACIONES,LINK FOTO
334,41G,BOXER,AZUL,KNOCKER,S/D,S/D,https://drive.google.com/open?id=1EkMIAYnzLYQNUnrSXcP4953bZi3Hrltr&usp=drive_copy
335,42G,BOXER,GRIS,S/D,S/D,S/D,https://drive.google.com/open?id=1QsDI10KA0MhiraStCcuixybDpQi5HCEf&usp=drive_copy
336,43G,BLUSA,ROSA,CUIDADO CON EL PERRO,GRANDE,"LEYENDA KEEP TALKING ARDIDAS, IMAGENDE UNA F CON LENTES",https://drive.google.com/open?id=1F9W3YySxL6-7f9cgyZxOnFP5OXLIVFhl&usp=drive_copy
337,44G,BOXER,CAFE ,FIARA INTIMATE,S/D,S/D,https://drive.google.com/open?id=1kevBjBhzKubn_7gDaCk_Ccf2ZmqQDMRG&usp=drive_copy
338,45G,VESTIDO,"AZUL MARINO, BLANCO",S/D,S/D,RAYAS,https://drive.google.com/open?id=1iXuhN5QFhm2r2SW0pZ5HU_1uHiHdl3yu&usp=drive_copy
339,46G,VESTIDO,"BLANCO,VERDE,AZUL,ROSA",S/D,S/D,ESTAMPADOS TIPO DEGRADADOS,https://drive.google.com/open?id=1XFa_V4ClpBkyd1Qdmmel0Q8YtvVtTXT1&usp=drive_copy
340,47G,BLUSA,"BLANCO, NEGRO",YIMAL,EXTRA GRANDE,LEYENDA EN LA PATE DE ENFRENTE,https://drive.google.com/open?id=1EpTeByZ4Ar3PLl-AW7n70tns9ZTFkc4Y&usp=drive_copy
341,48G,MALLA,NEGRO,S/D,S/D,MANCHAS POR DESGASTE,https://drive.google.com/open?id=1146pw_3CFDdL2EwnVjI67-2aAkcfsysw&usp=drive_copy
342,49G,FALDA,NEGRO,QUARRY,GRANDE,MANCHAS POR DESGASTE,https://drive.google.com/open?id=1SgcR7qv12faR1aLunfTg5RQxRRAc-UtI&usp=drive_copy
343,50G,SHORT,AZUL,ARI BLOMING,GRANDE,MATERIAL DE MEZCLILLA,https://drive.google.com/open?id=1VjDqE0YEt6jaWUDfstn3mqQZ486IcqnK&usp=drive_copy
344,1H,MOCHILA,"TINTO, NEGRO",S/D,S/D,"MOCHILA CON LOGO DEL GOBIERNO DE ZACATECAS DEL PERIODO 2021-2027 CON LA LEYENDA ""BIENESTAR Y PROGRESO"".",https://drive.google.com/open?id=1sPK4o4PpuGBc0sIAM8KGbI63nLMZw6CN&usp=drive_copy
345,2H,MOCHILA,NEGRO,S/D,S/D,"MOCHILA CON MULTIPLES COMPARTIMIENTOS, ESPACIO PARA BOTELLAS A LOS LATERALES",https://drive.google.com/open?id=1L8uBXG51gVeLce7OHC1Wem8NmLxI7NmF&usp=drive_copy
346,3H,MOCHILA,"VERDE,BLANCO",S/D,S/D,"MOCHILA DE PROPAGANDA POLITICA DEL PARTIDO VERDE CON LA LEYENDA ""LA 4T SE PINTA DE VERDE, LOGO Y LETRAS SE OBSERVAN VISIBLES.",https://drive.google.com/open?id=1HjCoe5-hbRWDK2JY06n2DniAtNNrNE6X&usp=drive_copy
347,4H,MOCHILA,NEGRO,S/D,S/D,"MOCHILA DE HOMBRO CON VARIOS COMPARTIMIENTOS, CONTIENE UN LLAVERO AZUL  DE FORMA RECTANGULAR EN UN CIERRE, NO SE DISTINGUEN LETRAS DEL MISMO, TIENE UN ANDADO AL EXTERIOR.",https://drive.google.com/open?id=1JqqPJrnrBjinIYXIAinn2u7wdciMo_y8&usp=drive_copy
348,5H,MOCHILA,"ROSA, NEGRO",S/D,S/D,"MOCHILA DE DOS COMPARTIMENTOS CON LOGO EN FORMA RECTANGULAR EN COLOR NEGRO CON LAS LETRAS ""LHESH"" EN COLOR BLANCO, CIERRES EN COLOR NEGRO",https://drive.google.com/open?id=1YxJ850YCARhlJyEsJXfRtSjyJVhntA-r&usp=drive_copy
349,6H,MOCHILA,"GRIS, NEGRO",S/D,S/D,"MOCHILA CON LOGO DE DOS CUADRADOS ESTILO DOMINO QUE COINCIEN UN MISMO RECUADRO CON LA LEYENDA EN INGLES ""COMREHENSIVE TREATMENT CENTERS"". EN PARTE INFERIOR RECUADRO EN BLANCO CON TRES LINEAS QUE CONECTAN ENTRE SI EN COLOR NEGRO.",https://drive.google.com/open?id=1laQHJnxVWD8QYlNDoily0IvUgmGsIr-Q&usp=drive_copy
350,7H,MOCHILA,"CAFE, NEGRO",S/D,S/D,MOCHILA  DE HOMRO ESTILO CAMUFLAJE TACTICO CON CIERRES COLOR NEGRO,https://drive.google.com/open?id=1CJa6ylS4qwPHdda3rEQ3wa53UD7koqIh&usp=drive_copy
351,8H,MOCHILA,"NEGRO, BLANCO",PUMA,S/D,"MOCHILA CON LA FIGURA DE UN PUMA BRINCANDO SOBRE LAS LETRAS ""PUMAS"".",https://drive.google.com/open?id=1HVDWFtB4h2uBidJ13XaQCTN2bBhgzYFD&usp=drive_copy
352,9H,MOCHILA,"VERDE, AMARILLO, BLANCO, NEGRO",S/D,S/D,"MOCHILA CON DETALLE DE COLOR DISTINTO AL PRINCIPAL CON CIERRES Y DETALLE DE COSTURA  EN NEGRO CON LA LEYENDA ""ANGEL SOFT"".",https://drive.google.com/open?id=1b5ycfPbQW3NKAEMeyJbXKHAWdS39ctuW&usp=drive_copy
353,10H,MOCHILA,NEGRO,S/D,S/D,"MOCHILA CON DETALLE EN COLOR VERDE O AMARILLO NEON CON LOGO DE UN CUADRADO ESCRITO AL INTERIOR DE ESTE LA PALABRA ""SPORT"".",https://drive.google.com/open?id=1MbQzsnDTLIPGOcHzVPYPO3BDPDpPXBpT&usp=drive_copy
354,11H,MOCHILA,"NEGRO, GRIS",S/D,S/D,"MOCHILA CON ESTAMPADO DE FIGURAS EN LINEAS VERTICALES Y TRIANGULOS EN TONO GRIS, LICENCIA DE MARVEL CON LOGO DE BLACK PANTER. ",https://drive.google.com/open?id=17gle3ciMBnl-40cyIOTHxwDimkNs5lSA&usp=drive_copy
355,12H,MOCHILA,NEGRO,S/D,S/D,"MOCHILA CON BROCHES A LOS COSTADO CON DETALLES EN ROJO, EN PARTE DELANTERA UN ESCUDO TRIANGULAR CON ESQUINAS REDONDEADAS CON FIGURA AL INTERIOR.",https://drive.google.com/open?id=1qjkJzVgpeVEO5yCgqnN7FdENhX419n67&usp=drive_copy
356,13H,MOCHILA,NEGRO,SPORT,S/D,"MOCHILA CON VARIOS COMARTIMENTOS EN PARTE DELANTERA ; UNO EN HORIZONTAL; OTRO EN DIAGONAL, CON UN TIPO ARGOLLA, LOGO CON LETRA ""S"" Y PALABRA ""SPORT"" AL INTERIOR DE UN RECUADRO.",https://drive.google.com/open?id=1CEs-Iamo68ha_qWVCmRa_SUyrvQmSbTE&usp=drive_copy
357,14H,MOCHILA,"AZUL, NEGRO",NIKE,S/D,"MOCHILA TIPO DEPORTIVA CON LOGO DISTINTIVO DE LA MARCA ""NIKE"" EN COLOR BLANCO.",https://drive.google.com/open?id=1spSQzFIYFsieudGxafwapuzK0XNSEAm1&usp=drive_copy
358,15H,MOCHILA,NEGRO,GOLDEN STAR,S/D,MOCHILA TIPO MALETIN CON AGARRADERA CON PLACA DE LA MARCA .,https://drive.google.com/open?id=1V6LfVnJTS9Fz5YkvbE_TCinMjXiHwLil&usp=drive_copy
359,16H,MOCHILA,"NEGRO, BLANCO",ADIDAS,S/D,MOCHILA CON DISTINTIVOS DE LA MARCA EN COLOR BLANCO,https://drive.google.com/open?id=1P4xbmxNZe8Pdcbc_2yCKX9qMO_mh9nmi&usp=drive_copy
360,17H,MOCHILA,NEGRO,KAMPAK,S/D,MOCHILA TIPO TACTICA CON LOGO DE LA MARCA EN PARTE DELANTERA,https://drive.google.com/open?id=1mntkEqSPkQ7_Ji8RJk1228kGQjK23Y1x&usp=drive_copy
361,18H,MOCHILA,NEGRO,S/D,S/D,MOCHILA ESTILO PIXELEADO EN TONOS CAFES Y GRISES; DOS COMPARTIMINETO EN PARTE DELANTERA.,https://drive.google.com/open?id=18IMoYEoHXOs9S9vUAOehzKgpUORSuI0t&usp=drive_copy
362,19H,MOCHILA,"NEGRO, NARANJA",KAPPA,S/D,"MOCHILA CON DETALLES EN TONO NARANJA CON VARIOS COMPARTIMENTO; DISTINTIVO DE IMAGEN DE LA MARCA, PALABRAS "" PEOPLE"" Y ""MOVE"" EN DIAGONAL; CUATRO FIGURAS DE LINEAS ENTRELAZADAS ENTRE SI. ",https://drive.google.com/open?id=1mJa7Yi7TSjFqkvibikaZxclfm2j4EVnR&usp=drive_copy
363,20H,MOCHILA,"NEGRO, NARANJA",FASHION,S/D,"MOCHILA CON CON LOGO DE LA MARCA ""LETRA F Y ABAJO LA PALABRA ""FASHION"" DENTRO UN RECUADRO BLANCO; PALABRA ""FASHION"" CON ORIENTACION EN HORIZONTAL; LETRAS ""FASHION"" TAMAÑO GRANDE Y ABAJO DE ESTA LA FRASE ""FASHION XIUXIAN"".",https://drive.google.com/open?id=142TEFKEUqgUq4vNuPKF-1hDeAqP9qKH_&usp=drive_copy
364,21H,MOCHILA,NEGRO,S/D,S/D,  MOCHILA CON VARIOS COMPARTIMIENTOS Y BROCHES AL EXTERIOR .,https://drive.google.com/open?id=1cSkhNMQpMaLjRtMO7sas5yQ1kvCXIdTY&usp=drive_copy
365,22H,MOCHILA,"BLANCA, NEGRO",S/D,S/D,MOCHILA  DE HOMRO ESTILO CAMUFLAJE TACTICO CON CIERRES COLOR NEGRO,https://drive.google.com/open?id=1uvUqUc2DuPxGOcrcPrTkahPPxORBz1UK&usp=drive_copy
366,23H,MOCHILA,"VERDE CLARO, VERDE OSCURO, BEIGE",S/D,S/D,TIPO CAMUFLAJEADA,https://drive.google.com/open?id=1TZkVeis0cy1VKX2GGb1K4tU41qEHN928&usp=drive_copy
367,24H,MOCHILA,NEGRO,NIKE,S/D,LEYENDA AL FRENTE NIKE,https://drive.google.com/open?id=11P12q2MMKa6LCz4NV8TX9aDzbVMUNuzy&usp=drive_copy
368,25H,MOCHILA,NEGRO,S/D,S/D,INSIGNIA DE LA LETRA K,https://drive.google.com/open?id=1OoXnfs5GWvkPrtoijccTJIzm7poJuDyS&usp=drive_copy
369,26H,MOCHILA,"BLANCO, NEGRO",S/D,S/D,BROCHE EN LA PARTE DE ENFRENTE ,https://drive.google.com/open?id=1h96uvV9vbCdXU5U0j_s5SOPzU0OlDOrm&usp=drive_copy
370,27H,MOCHILA,"NEGRO,CAFE, DORADO",S/D,S/D,ESTAMPADO DE LETRAS KA,https://drive.google.com/open?id=18_DQQn7_rFxn42ktpVRYqBKJEn4HehiO&usp=drive_copy
371,28H,MOCHILA,VERDE,S/D,S/D,S/D,https://drive.google.com/open?id=1yAuLluLOL2qfDrlrpzRQv7VjX6GCVhwv&usp=drive_copy
372,29H,MOCHILA,"NEGRO, VERDE",S/D,S/D,TONO DIFERENTE DENTRO,https://drive.google.com/open?id=1-5RHBo6u1fnlfLC0XbHlhcQ08DOYYpNh&usp=drive_copy
373,30H,MOCHILA,NEGRO,S/D,S/D,S/D,https://drive.google.com/open?id=1PxOFURCnX1IuD8QqrNpOZ0AsDAuC0Hmk&usp=drive_copy
374,31H,MOCHILA,"AZUL, BLANCO, ROJO",TOMI HILFIGER,S/D,S/D,https://drive.google.com/open?id=1N6q32kpUhzR5ekRw_wai9CP6V7mXGJTV&usp=drive_copy
375,32H,MOCHILA,NEGRO,MICHAEL JORDAN,S/D,S/D,https://drive.google.com/open?id=1fBI1GAwZB7Fj7Pjb_DOXJroZQkHNM8CY&usp=drive_copy
376,33H,MOCHILA,AMARILLO,S/D,S/D,LOGO DEL CLUB DE FUTBOL DEL AMERICA,https://drive.google.com/open?id=1luNLTYOyexRXRYf8A3YhPYzOSnGCxPI6&usp=drive_copy
377,34H,MOCHILA,CAFE ,S/D,S/D,S/D,https://drive.google.com/open?id=19ISUxb7iCqp97nQutk1DeIOdb1hCe2OI&usp=drive_copy
378,35H,MOCHILA,"NEGRO, ROJO",CAMELBAR,S/D,DETALLES DE OTRA TONALIDAD EN EL CIERRE,https://drive.google.com/open?id=1VrEeYlZ-4ejXgmCI_PprQcXEY5UQUZjy&usp=drive_copy
379,36H,MOCHILA,"CAFE,VERDE",TRACK,S/D,TIPO CAMUFLAJEADA,https://drive.google.com/open?id=1dRIYuiyCRnmr-BXciBwjbdS5vmhWE71w&usp=drive_copy
380,37H,MOCHILA,NEGRO,HIGH SIERRA,S/D,GRUPO GEPP {PEPSI},https://drive.google.com/open?id=1g-8OkJGqHo_K-mCBM7uVzj3TLf4VVujL&usp=drive_copy
381,38H,MOCHILA,GRIS,HERBALIFE,S/D,"MOCHILA CON LOGO DE HOJAS DENTRO DE UN CIRCULO CON LAS PALABRAS ""HERBALIFE NUTRITION"" EN PARTE DELANTERA; ETIQUETA EN TONO VERDE A UN COSTADO.",https://drive.google.com/open?id=1sP7iLvsEOwEIro-bbrZwrJE_PYhk9gPN&usp=drive_copy
382,39H,MOCHILA,NEGRO,S/D,S/D,MOCHILA TRES COMPARTIMENTOS PRINCIPALES Y UNO AL COSTADO.,https://drive.google.com/open?id=1MhHlNuXbNjqF624nSWz1hyuSoX_GQs-0&usp=drive_copy
383,40H,MOCHILA,NEGRO,S/D,S/D,MOCHILA CON TRES COMPARTIMENTOS PRINCIPALES Y DOS LATERALES .,https://drive.google.com/open?id=1PTkQi3AJuEBu1d3R_5tTNbNNdIl_wG-G&usp=drive_copy
384,41H,MOCHILA,VERDE,S/D,S/D,"MOCHILA DE PROPAGANDA POLITICA DEL PARTIDO VERDE CON LA LEYENDA ""LA 4T SE PINTA DE VERDE"".",https://drive.google.com/open?id=15z0HRBs5ry7bfjH1ue4WQET1xdOk4z0y&usp=drive_copy
385,42H,MOCHILA,NEGRO,S/D,S/D,"LOGO CON LA LEYENDA ""TRACK USA"" EN TONOS BLANCOS; COMPARTIMENTO DELANTERO.",https://drive.google.com/open?id=13YreCiI1oBxp-Rm0Ljio50kaHLcP2LTE&usp=drive_copy
386,43H,MOCHILA,"NEGRO, ROJO",S/D,S/D,MOCHILA VARIOS COMPARTIMENTOS DELANTEROS CON TRES ORIFICIOS EN COLOR ROJO; LOGO TRIANGULO REDONDEADO DETALLE EN ROJOS.,https://drive.google.com/open?id=1tmUYGSOYEv-enTBUE3nOd2CtnR9d5S17&usp=drive_copy
387,44H,MOCHILA,NEGRO,S/D,S/D,MOCHILA MULTIPLES COPARTIMENTOS CON LOGO DE FORMA DE TRIANGULO CON ESQUINAS REDONDEADAS.,https://drive.google.com/open?id=1fisVbgIUijsw6VwMlIvIiMW7xB7YA_dt&usp=drive_copy
388,45H,MOCHILA,"NEGRO, AZUL, BLANCO",JANS SPORT,S/D,"MOCHILA DE ESTAMPADO COMPLETO DE GALAXIA CON LOGO CON LAS PALABRAS ""TRANS BY JANSPORT""; COMPARTIMENTOS DELANTEROS.",https://drive.google.com/open?id=1ODuE1qfWNzfUzp8AxKtTJVxl5m_kZQyZ&usp=drive_copy
389,46H,MOCHILA,GRIS,S/D,S/D,MOCHILA EN ESTADO DETERIORADO DE DOS COMPARMENTOS.,https://drive.google.com/open?id=1WG5hkZlMs7u96lXSwbPjH9Es8Z8sPM4m&usp=drive_copy
390,47H,MOCHILA,GRIS,ORIGINEN BAGS,S/D,MOCHILA CON BROCHE A LOS COSTADOS ,https://drive.google.com/open?id=1HRhmGPVaw0S5xeY9g7otd5bX7ogLsHwf&usp=drive_copy
391,48H,MOCHILA,AZUL,S/D,S/D,"MOCHILA DE DOS COMPARTIMENTO PRINCIPALES Y UNO EN COSTADO; LOGO DE LA MARCA PEÑAFIEL CON DIVERSAS FRUTAS CON LAS LEYENDAS ""HECHO DE MEXICO""",https://drive.google.com/open?id=1nqs8oCDNYhypX9u-AiSnuzMnIhJGaNR3&usp=drive_copy
392,49H,MOCHILA,"CAFE, NEGRO, BLANCO",S/D,S/D,MOCHILA TIPO MORRAL CON DIVERSAS FRANJAS EN HORIZONTAL; BOLSA EN PARTE DELANTERA.,https://drive.google.com/open?id=1gIhHmGr2NCqz1vgC81dYrDcLSz0aDuRi&usp=drive_copy
393,50H,MOCHILA,"NEGRO, ROJO",S/D,S/D,"MOCHILA CON LO DE UN CIRCULO Y/O OVALO CON LAS LETRAS ""S"" Y ""F"".",https://drive.google.com/open?id=1RUxUJCM2VQab6jW_sbvMezT1yHac-0el&usp=drive_copy
394,1I,MOCHILA,"NEGRO, ROJO",HONDA,S/D,LEYENDA MCLAREN POWERED BY HONDA EN LA PARTE INFERIOR EN COLOR BLANCO,https://drive.google.com/file/d/1n68gCi0ocJaS6eknRhI2MavQEs2bs5k8/view?usp=sharing
395,2I,MOCHILA,"GRIS, NEGRO",YORK TEAM POLO CLUB,S/D,CIERRE EN FORMA DIAGONAL EN LA PARTE CENTRAL DE LA MOCHILA,https://drive.google.com/file/d/1-dAZylD3_ElVodfR1DCeGtfx_p7oDiXf/view?usp=sharing
396,3I,BOLSO,CAFE,S/D,S/D,CIERRE DORADO,https://drive.google.com/file/d/1z8CrFoscM7Ii5pYFW98gVFRfPVMksOPH/view?usp=sharing
397,4I,MOCHILA,"NEGRO, BLANCO",WILSON,S/D,ESTAMPADO DE LA MARCA WILSON EN LA PARTE SUPERIOR Y EN LA PARTE INFERIOR EN ORIENTACION VERTICAL,https://drive.google.com/file/d/1ZAB9g8-gO8EEsy7Gio9cNBvKCojhhbiJ/view?usp=sharing
398,5I,BOLSO,BLANCO,S/D,S/D,CIERRE Y PLACA METALICA EN COLOR DORADO,https://drive.google.com/file/d/1c_CLdaqKPLWiKdzGn1DvSV_Sn38K6lei/view?usp=sharing
399,6I,MOCHILA,NEGRO,S/D,S/D,LOGOTIPO COLOR BLANCO DE LETRA G CON UN RAYO COLOR NARANJA Y A UN COSTADO LA LEYENDA CHAMPIONS LEAGUE Y AL INFERIOR LA LEYENDA BEBIDA DEPORTIVA OFICIAL,https://drive.google.com/file/d/1_EphJU11AZwqC4VZRk9GNHRjfI8yS9fh/view?usp=sharing
400,7I,MOCHILA,NEGRO,S/D,S/D,S/D,https://drive.google.com/file/d/1EGIeRcC2uzbRjQfZ3BCbnr2gFbHApuef/view?usp=sharing
401,8I,MOCHILA,"VERDE, NEGRO",S/D,S/D,"LEYENDA EN COLOR BLANCO, LA 4T SE PINTA DE VERDE AL INFERIOR EL DIBUJO DE UN TUCAN Y LA LEYENDA VERDE",https://drive.google.com/file/d/1z-yhWUPkTYGaB_ungJnDf7ZMT0oxdYMY/view?usp=sharing
402,9I,MOCHILA,"GRIS, BLANCO",S/D,S/D,"LEYENDA NIKE EN LA PARTE CENTRAL, BOLSA LATERAL DE MAYA COLOR ROJO",https://drive.google.com/file/d/1IqqiJmf6qgxH5CifDMUHxEKQZeJGrYbV/view?usp=sharing
403,10I,MOCHILA,NEGRO,NIKE,S/D,"LISTON ROJO CON LA LEYENDA CGAF Y LOGOTIPO DE NIKE EN LA PARTE INFERIOR, COLOR BLANCO",https://drive.google.com/file/d/1QkwCX06Edny-3HUrcscOEN-D8WDjCnPZ/view?usp=sharing
404,11I,MOCHILA,"NEGRO, AMARILLO",S/D,S/D,LOGOTIPO DE SAMS CLUB ,https://drive.google.com/file/d/1KGyUMDspa6YGhT0uAZxf9-f9DzwSB96-/view?usp=sharing
405,12I,MOCHILA,"AZUL, BLANCO",S/D,S/D,LEYENDA REEBOK EN LA PARTE INFERIOR,https://drive.google.com/file/d/1PHyg0mtVPiHEABeYPbK9IPWOc73U-vmE/view?usp=sharing
406,13I,MOCHILA,"GRIS, NEGRO, NARANJA",PL POWER,S/D,BOLSAS LATERALES DE RED COLOR NEGRO,https://drive.google.com/file/d/1yGsSiYautzOHivK1AARb-fYzQDSgBjB6/view?usp=sharing
407,14I,MOCHILA,VERDE MILITAR,S/D,S/D,S/D,https://drive.google.com/file/d/1GyDHPpWk4l0cuXwlZIjGrxJGRADS_7vK/view?usp=sharing
408,15I,MOCHILA,"ROSA, BLANCO, NEGRO",S/D,S/D,"VARIOS LOGOTIPOS DE ESTRELLAS COLOR VERDE, BLANCAS, AZULES Y ROSAS, ASI MISMO CUENTA CON UNA ESTRELLA COLOR ROSA EN LA PARTE CENTRAL Y A UN COSTADO LA LEYENDA STAR",https://drive.google.com/file/d/1qpkTbDta2khHcbmEJewOOSL-F1lQ5YOV/view?usp=sharing
409,16I,MOCHILA,"ROJO, NEGRO",S/D,S/D,"LOGOTIPO COLOR BLANCO DE LA MARCA YI RONG, LEYENDA X HIKING AND CAMPING EN LA PARTE INFERIOR, COLOR BLANCO CON ORIENTACION VERTICAL",https://drive.google.com/file/d/1UDDAN9ef1lsn8HKq5bNoAsR0Vj86ThGH/view?usp=sharing
410,17I,MOCHILA,NEGRO,S/D,S/D,LEYENDA FILA COLOR BLANCO CON ROJO EN ORIENTACION VERTICAL,https://drive.google.com/file/d/1Zn7RDBaW1u3M1yLwmB9I8TdI7rTgBZOQ/view?usp=sharing
411,18I,MOCHILA,"ROJO, NEGRO",S/D,S/D,"FIGURAS DE VAQUERAS Y LA LEYENDA EN COLOR BLANCO, SOMOS JALISCO",https://drive.google.com/file/d/10vzJG_Ugj3h6vTlGjVxBONmoolvI0clb/view?usp=sharing
412,19I,MOCHILA,"AZUL, NEGRO",S/D,S/D,LETRAS PEQUEÑAS CON LA LEYENDA KSWISS EN LA PARTE INFERIOR,https://drive.google.com/file/d/12bZk_sCxS7ckBbqZkU0DjHXmqvTyByQo/view?usp=sharing
413,20I,MOCHILA,NEGRO,LIYUANDA,S/D,LEYENDA DE LA MARCA LIYUANDA EN COLOR BLANCO CON UNA LINEA ROJA Y UNA BLANCA,https://drive.google.com/file/d/15TRTzbBT_9HBOHmpMTTNyqmi5nTlAD6N/view?usp=sharing
414,21I,MOCHILA,"ROJO, NEGRO",SKECHERS,S/D,RECUADRO PEQUEÑO EN COLOR NEGRO EN LA PARTE INFERIOR CON LA LEYENDA SKECHERS,https://drive.google.com/file/d/1BUsUyM3pceKrCnOHSmOxXKm3C84SX8pi/view?usp=sharing
415,22I,MOCHILA,"NEGRO, BLANCO",BUANING,S/D,"LOGOTIPO DE LA MARCA BUANING COLOR BLANCO, AZUL Y ROJO",https://drive.google.com/file/d/1z22dsiER7UfWhJ6cvJILd1Ax_HIrHn2C/view?usp=sharing
416,23I,MOCHILA,"ROSA, AZUL",HAPPY GIRL,S/D,"ESTAMPADO DE FLORES ROSAS CON MORADO, BOLSOS LATERALES DE RED COLOR ROSA",https://drive.google.com/file/d/1hnlCTt3TFNJpkGw8kmG0-xy8sfvddki6/view?usp=sharing
417,24I,MOCHILA,"ROJO, NEGRO, BLANCO",S/D,S/D,CON EL LOGOTIPO DE UN BALON Y LA LEYENDA COCA COLA EN LA PARTE CENTRAL,https://drive.google.com/file/d/1qFViC4ILCYqhNx48WpHOrpy0hM6jFgrp/view?usp=sharing
418,25I,MOCHILA,"NEGRO, BLANCO",S/D,S/D,LOGOTIPO COLOR BLANCO,https://drive.google.com/file/d/1t8gTiUh84OLnATg9FE4v-APjji_MYiqP/view?usp=sharing
419,26I,MOCHILA,"NEGRO, BLANCO",QUECHUA,S/D,LEYENDA QUECHUA EN LETRAS PEQUEÑAS COLOR BLANCO,https://drive.google.com/file/d/1eKn3lf6MXhU1hXUtWSN79cFfy8kdvWek/view?usp=sharing
420,27I,MOCHILA,"GRIS, NEGRO",S/D,S/D,S/D,https://drive.google.com/file/d/1psm-8JkJ-hXli1vQDo42bhlq-Qr8TtUK/view?usp=sharing
421,28I,MOCHILA,"AZUL, NEGRO",S/D,S/D,"LOGOTIPOS COLOR BLANCO DE UN TIPO OVNI, NUBES Y UN COHETE, ASI MISMO LA LEYENDA  COMPARTIR CONTIGO HASTA ALCANZAR TUS SUEÑOS",https://drive.google.com/file/d/1_ep68Ul23kFkrRrJGeAuqqwI2TsM2xru/view?usp=sharing
422,29I,MOCHILA,"GRIS, NEGRO",DOXUNGOO,S/D,LEYENDA DOXUNGOO EN LA PARTE SUPERIOR,https://drive.google.com/file/d/1pvpLb-QvBUHZXKZuZ9ESat17KSlUGT24/view?usp=sharing
423,30I,MOCHILA,"AMARILLO, NEGRO, ROJO",S/D,S/D,"LOGOTIPO COLOR VERDE DEL GOBIERNO DE JALISCO Y LA LEYENDA, VAMOS JUNTOS, TRIANGULOS ORIENTACION HORIZONTAL COLOR MORADO, ROSA, AZUL Y NARANJA EN LA PARTE CENTRAL",https://drive.google.com/file/d/1jh6h_GNjuZYHkcshYzSmZnd0obAI4RqH/view?usp=sharing
424,31I,MOCHILA,"BLANCO, NEGRO",S/D,S/D,LOGOTIPO DEL PERSONAJE MICKEY MOUSE,https://drive.google.com/file/d/1QxqhWjjoXNvZjIoXQ58h-msm7xkH6cLa/view?usp=sharing
425,32I,MOCHILA,"AZUL, NEGRO",S/D,S/D,LOGOTIPO COLOR CAFE Y LA LEYENDA VANS,https://drive.google.com/file/d/16XTiBcGgqPwHXVKzCIQ3NF-7-Boqecmh/view?usp=sharing
426,33I,MOCHILA,NEGRO,S/D,S/D,LOGOTIPO COLOR BLANCO DE LA LETRA M EN LA PARTE INFERIOR,https://drive.google.com/file/d/1n4Ds_uExvOuN3cydr2Z0OosvMc6cJlVG/view?usp=sharing
427,34I,MOCHILA,NEGRO,S/D,S/D, PLACA METALICA Y LA LEYENDA SPORT,https://drive.google.com/file/d/179b3mv-YfAJ9pblyqsVhhmiQ-h-f2k3z/view?usp=sharing
428,35I,MOCHILA,"NEGRO, MORADO",NIKE,S/D,LOGOTIPO COLOR BLANCO MARCA NIKE EN LA PARTE INFERIOR,https://drive.google.com/file/d/1KmcNvNgPiJdlU822uuv9D5FHxGHXHE8B/view?usp=sharing
429,36I,MOCHILA,NEGRO,S/D,S/D,"CON LA LEYENDA PANGJIA, NO APRECIA LA MARCA",https://drive.google.com/file/d/1hHTOoW008a7chmskeFBPRRUdiLteyyHO/view?usp=sharing
430,37I,MOCHILA,NEGRO,S/D,S/D,"CON LA LEYENDA COLOR BLANCO,GRIS Y DORA DE NIKE",https://drive.google.com/file/d/13aGhkWdrHvZlXLEAd_tQ5qfWsAgwEjPA/view?usp=sharing
431,38I,MOCHILA,"NEGRO, GRIS",S/D,S/D,"LEYENDA COLOR BLANCO MEDTRONIC, ASI MISMO CUENTA CON DOS LISTONES COLOR NARANJA E LOS COSTADOS ",https://drive.google.com/file/d/1vy6AZvQtdmpoTzXBa5bqJSHa0iCzfxGu/view?usp=sharing
432,39I,MOCHILA,"ROJO, NEGRO, BLANCO",S/D,S/D,"LEYENDA EDOMEX DECISIONES FIRMES, RESULTADOS FUERTES, LOGOTIPO EN FORMA DE LA LETRA EME CON COLORES ROSA, MORADO, ROJO, AZUL, VERDE, AMARILLO, NARANJA",https://drive.google.com/file/d/1EF6K75U5vWPkmtfGf45kaYxo-6WC9joL/view?usp=sharing
433,40I,MOCHILA,"NEGRO, BLANCO",S/D,S/D,"PLACA METALICA LA CUAL TIENE FIGURA DE SERPIENTE Y LA LEYENDA ANAJALZA, ASI MISMO CUENTA EN LA PARTE INFERIOR CON LA LEYENDA SAMS NITE, LOS CIERRES SON DE COLOR AZUL",https://drive.google.com/file/d/191CUfEkQB-vJzfs4wYeT-s_hHOHFQa-0/view?usp=sharing
434,41I,MOCHILA,"ROJO, NEGRO, BLANCO",S/D,S/D,LOGOTIPO DESGASTADO COLOR BLANCO DEL GOBIERNO DE ZACATECAS,https://drive.google.com/file/d/1SOabUwTUQ4q8Js6dX3CyQulUK9Y8ixDX/view?usp=sharing
435,42I,MOCHILA,"NEGRO, ROJO",S/D,S/D,S/D,https://drive.google.com/file/d/19q2pZFuc-nwFhR0tK7in5-JvcySrLAqn/view?usp=sharing
